Rank,Title,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil
1,Великолепная семерка,132,Action,6.9,54,165885,93.43
2,Зверопой,108,Animation,7.1,59,112839,270.4
3,Фантастические твари и где они обитают,133,Adventure,7.3,66,356589,234.04
4,Первый мститель: Противостояние,147,Action,7.8,75,557266,408.08
5,Отряд самоубийц,123,Action,6.1,40,520530,325.1
6,Люди Икс: Апокалипсис,144,Action,7,52,346222,155.44
7,Затерянный город Z,141,Adventure,6.6,78,64836,8.58
8,Сплит,117,Horror,7.3,62,339614,138.29
9,По соображениям совести,139,Biography,8.1,71,357695,67.21
10,Доктор Стрэндж,115,Action,7.5,72,489184,232.64
11,Лунный свет,111,Drama,7.4,99,221911,27.85
12,Дочь Бога,102,Crime,4.3,23,11522,NA
13,Пассажиры,116,Drama,7,41,303929,100.01
14,Дэдпул,108,Action,8,65,803518,363.07
15,Ла-Ла Ленд,128,Comedy,8,93,425123,151.1
16,Бэтмен против Супермена: На заре справедливости,151,Action,6.5,44,567291,330.36
17,Инферно,121,Action,6.2,42,136137,34.34
18,Ведьма любви,120,Romance,6.2,82,8968,0.23
19,До встречи с тобой,106,Drama,7.4,51,167756,56.25
20,Изгой-один. Звёздные войны: Истории,133,Action,7.8,65,467881,532.18
21,Почти семнадцать,104,Comedy,7.4,77,84539,14.26
22,Охотники за привидениями,116,Action,5.2,60,184378,128.34
23,Прибытие,116,Drama,7.9,81,502166,100.55
24,Невидимый гость,106,Crime,8.1,NA,78017,NA
25,Девушка в поезде,112,Crime,6.5,48,147880,75.4
26,Моана,107,Animation,7.6,81,218431,248.76
27,Тарзан. Легенда,110,Action,6.3,44,147839,126.64
28,Капитан Фантастик,118,Comedy,7.9,72,155761,5.88
29,Мина,106,Action,5.9,40,12541,NA
30,Скрытые фигуры,127,Biography,7.8,74,167220,169.61
31,Под покровом ночи,116,Drama,7.5,67,201254,10.64
32,Лев,118,Biography,8.1,69,177596,51.74
33,Отмель,86,Drama,6.3,59,104732,55.12
34,Любой ценой,102,Action,7.6,88,172003,26.86
35,Стартрек: Бесконечность,122,Action,7.1,68,207006,158.85
36,Зверополис,108,Animation,8,78,374931,341.27
37,Дом странных детей Мисс Перегрин,127,Adventure,6.7,57,138334,87.24
38,Основатель,115,Biography,7.2,66,94393,12.79
39,Служанка,145,Drama,8.1,84,75218,2.01
40,Белоснежка и охотник 2,114,Action,6.1,35,86116,48.39
41,Она,130,Crime,7.2,89,53761,NA
42,Твое имя,106,Animation,8.4,79,126510,5.02
