Region;delivered_cargos_2017
Adygey;0.8
Altay;18.4
Amur;9.8
Arkhangel'sk;11.1
Astrakhan';17.3
Bashkortostan;28.5
Belgorod;49.9
Bryansk;10.1
Buryat;16.1
Chechnya;0.2
Chelyabinsk;67.8
Chukot;0
Chuvash;0.7
City of St. Petersburg;6.5
Dagestan;2.5
Gorno-Altay;0
Ingush;0.1
Irkutsk;50.4
Ivanovo;0.9
Kabardin-Balkar;0.5
Kaliningrad;3.9
Kalmyk;0
Kaluga;2.9
Kamchatka;0
Karachay-Cherkess;1.3
Karelia;27.6
Kemerovo;265.3
Khabarovsk;21.1
Khakass;21.2
Khanty-Mansiy;13.9
Kirov;6.2
Komi;13.7
Kostroma;2.1
Krasnodar;34.8
Krasnoyarsk;53.3
Kurgan;13.8
Kursk;20.2
Leningrad;27.1
Lipetsk;26.6
Maga Buryatdan;0
Mariy-El;1.2
Mordovia;3.1
Moscow City;4.1
Moskva;11.3
Murmansk;29.1
Nenets;0
Nizhegorod;15.6
North Ossetia;0.9
Novgorod;6.9
Novosibirsk;21
Omsk;15.7
Orel;1.4
Orenburg;37.3
Penza;2.4
Perm';45.3
Primor'ye;13.7
Pskov;3.8
Rostov;25.3
Ryazan';11.5
Sakha;13.6
Sakhalin;1.2
Samara;20.9
Saratov;15
Smolensk;16
Stavropol';7.3
Sverdlovsk;0
Tambov;2.4
Tatarstan;15.8
Tomsk;2.6
Tula;11.7
Tuva;0
Tver';1.6
Tyumen';38.4
Udmurt;2.1
Ul'yanovsk;3.2
Vladimir;1.5
Volgograd;18.5
Vologda;20.4
Voronezh;14.6
Yamal-Nenets;11.9
Yaroslavl';12.9
Yevrey;2.9
Zabaykal'ye;11.5
