Region;mun_obr_2014
Adygey;60
Altay;103
Amur;303
Arkhangel'sk;247
Astrakhan';176
Bashkortostan;895
Belgorod;311
Bryansk;289
Buryat;290
Chechnya;237
Chelyabinsk;313
Chukot;45
Chuvash;317
City of St. Petersburg;111
Dagestan;757
Gorno-Altay;735
Ingush;45
Irkutsk;472
Ivanovo;155
Kabardin-Balkar;132
Kaliningrad;75
Kalmyk;127
Kaluga;303
Kamchatka;66
Karachay-Cherkess;100
Karelia;126
Kemerovo;220
Khabarovsk;233
Khakass;100
Khanty-Mansiy;106
Kirov;371
Komi;194
Kostroma;179
Krasnodar;426
Krasnoyarsk;578
Kurgan;458
Kursk;355
Leningrad;220
Lipetsk;315
Maga Buryatdan;43
Mariy-El;149
Mordovia;387
Moscow City;146
Moskva;360
Murmansk;40
Nenets;21
Nizhegorod;410
North Ossetia;111
Novgorod;149
Novosibirsk;490
Omsk;424
Orel;267
Orenburg;582
Penza;325
Perm';339
Primor'ye;171
Pskov;207
Rostov;463
Ryazan';315
Sakha;445
Sakhalin;22
Samara;341
Saratov;402
Smolensk;350
Stavropol';330
Sverdlovsk;94
Tambov;287
Tatarstan;955
Tomsk;138
Tula;134
Tuva;143
Tver';385
Tyumen';319
Udmurt;341
Ul'yanovsk;167
Vladimir;127
Volgograd;475
Vologda;283
Voronezh;507
Yamal-Nenets;55
Yaroslavl';100
Yevrey;33
Zabaykal'ye;412
