Rank,Title,Description,Runtime,Genre,Rating,Metascore,Votes,Gross_Earning_in_Mil,Director,Actor
"1,""Великолепная семерка"",""    Seven gunmen in the old west gradually come together to help a poor village against savage thieves."",132,""Action"",6.9,54,165884,93.43,""Antoine Fuqua"",""Denzel Washington"""
"2,""Зверопой"",""    In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."",108,""Animation"",7.1,59,112837,270.4,""Garth Jennings"",""Matthew McConaughey"""
"3,""Фантастические твари и где они обитают"",""    The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school."",133,""Adventure"",7.3,66,356582,234.04,""David Yates"",""Eddie Redmayne"""
"4,""Первый мститель: Противостояние"",""    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man."",147,""Action"",7.8,75,557252,408.08,""Anthony Russo"",""Chris Evans"""
"5,""Отряд самоубийц"",""    A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse."",123,""Action"",6.1,40,520523,325.1,""David Ayer"",""Will Smith"""
"6,""Люди Икс: Апокалипсис"",""    In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world."",144,""Action"",7,52,346221,155.44,""Bryan Singer"",""James McAvoy"""
"7,""Затерянный город Z"",""    A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s."",141,""Adventure"",6.6,78,64836,8.58,""James Gray"",""Charlie Hunnam"""
"8,""Сплит"",""    Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th."",117,""Horror"",7.3,62,339611,138.29,""M. Night Shyamalan"",""James McAvoy"""
"9,""По соображениям совести"",""    World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."",139,""Biography"",8.1,71,357690,67.21,""Mel Gibson"",""Andrew Garfield"""
"10,""Доктор Стрэндж"",""    While on a journey of physical and spiritual healing, a brilliant neurosurgeon is drawn into the world of the mystic arts."",115,""Action"",7.5,72,489178,232.64,""Scott Derrickson"",""Benedict Cumberbatch"""
"11,""Лунный свет"",""    A chronicle of the childhood, adolescence and burgeoning adulthood of a young, African-American, gay man growing up in a rough neighborhood of Miami."",111,""Drama            "",7.4,99,221910,27.85,""Barry Jenkins"",""Mahershala Ali"""
"12,""Дочь Бога"",""    A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman."",102,""Crime"",4.3,23,11522,NA,""Gee Malik Linton"",""Ana de Armas"""
"13,""Пассажиры"",""    A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early."",116,""Drama"",7,41,303927,100.01,""Morten Tyldum"",""Jennifer Lawrence"""
"14,""Дэдпул"",""    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."",108,""Action"",8,65,803514,363.07,""Tim Miller"",""Ryan Reynolds"""
"15,""Ла-Ла Ленд"",""    While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."",128,""Comedy"",8,93,425120,151.1,""Damien Chazelle"",""Ryan Gosling"""
"16,""Бэтмен против Супермена: На заре справедливости"",""    Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs."",151,""Action"",6.5,44,567285,330.36,""Zack Snyder"",""Ben Affleck"""
"17,""Инферно"",""    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."",121,""Action"",6.2,42,136135,34.34,""Ron Howard"",""Tom Hanks"""
"18,""Ведьма любви"",""    A modern-day witch uses spells and magic to get men to fall in love with her."",120,""Romance"",6.2,82,8968,0.23,""Anna Biller"",""Samantha Robinson"""
"19,""До встречи с тобой"",""    A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of."",106,""Drama"",7.4,51,167755,56.25,""Thea Sharrock"",""Emilia Clarke"""
"20,""Изгой-один. Звёздные войны: Истории"",""    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans."",133,""Action"",7.8,65,467877,532.18,""Gareth Edwards"",""Felicity Jones"""
"21,""Почти семнадцать"",""    High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."",104,""Comedy"",7.4,77,84539,14.26,""Kelly Fremon Craig"",""Hailee Steinfeld"""
"22,""Охотники за привидениями"",""    Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat."",116,""Action"",5.2,60,184376,128.34,""Paul Feig"",""Melissa McCarthy"""
"23,""Прибытие"",""    A linguist is recruited by the military to communicate with alien lifeforms after twelve mysterious spacecrafts land around the world."",116,""Drama"",7.9,81,502158,100.55,""Denis Villeneuve"",""Amy Adams"""
"24,""Невидимый гость"",""    While the clock is ticking, with the aid of a witness preparation expert, a successful entrepreneur accused of murder has less than three hours to come up with an impregnable defence."",106,""Crime"",8.1,NA,78015,NA,""Oriol Paulo"",""Mario Casas"""
"25,""Девушка в поезде"",""    A divorcee becomes entangled in a missing persons investigation that promises to send shockwaves throughout her life."",112,""Crime"",6.5,48,147877,75.4,""Tate Taylor"",""Emily Blunt"""
"26,""Моана"",""    In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right."",107,""Animation"",7.6,81,218428,248.76,""Ron Clements"",""Auli'i Cravalho"""
"27,""Тарзан. Легенда"",""    Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."",110,""Action"",6.3,44,147839,126.64,""David Yates"",""Alexander Skarsgard"""
"28,""Капитан Фантастик"",""    In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."",118,""Comedy"",7.9,72,155760,5.88,""Matt Ross"",""Viggo Mortensen"""
"29,""Мина"",""    After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions."",106,""Action"",5.9,40,12541,NA,""Fabio Guaglione"",""Armie Hammer"""
"30,""Скрытые фигуры"",""    The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program."",127,""Biography"",7.8,74,167217,169.61,""Theodore Melfi"",""Taraji P. Henson"""
"31,""Под покровом ночи"",""    A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale."",116,""Drama"",7.5,67,201250,10.64,""Tom Ford"",""Amy Adams"""
"32,""Лев"",""    A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia. 25 years later, he sets out to find his lost family."",118,""Biography"",8.1,69,177594,51.74,""Garth Davis"",""Dev Patel"""
"33,""Отмель"",""    A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."",86,""Drama"",6.3,59,104731,55.12,""Jaume Collet-Serra"",""Blake Lively"""
"34,""Любой ценой"",""    A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas."",102,""Action"",7.6,88,172001,26.86,""David Mackenzie"",""Chris Pine"""
"35,""Стартрек: Бесконечность"",""    The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test."",122,""Action"",7.1,68,207004,158.85,""Justin Lin"",""Chris Pine"""
"36,""Зверополис"",""    In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."",108,""Animation"",8,78,374928,341.27,""Byron Howard"",""Ginnifer Goodwin"""
"37,""Дом странных детей Мисс Перегрин"",""    When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."",127,""Adventure"",6.7,57,138334,87.24,""Tim Burton"",""Eva Green"""
"38,""Основатель"",""    The story of Ray Kroc, a salesman who turned two brothers' innovative fast food eatery, McDonald's, into the biggest restaurant business in the world, with a combination of ambition, persistence, and ruthlessness."",115,""Biography"",7.2,66,94390,12.79,""John Lee Hancock"",""Michael Keaton"""
"39,""Служанка"",""    A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."",145,""Drama"",8.1,84,75216,2.01,""Chan-wook Park"",""Min-hee Kim"""
"40,""Белоснежка и охотник 2"",""    Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna."",114,""Action"",6.1,35,86116,48.39,""Cedric Nicolas-Troyan"",""Chris Hemsworth"""
"41,""Она"",""    A successful businesswoman gets caught up in a game of cat and mouse as she tracks down the unknown man who raped her."",130,""Crime"",7.2,89,53760,NA,""Paul Verhoeven"",""Isabelle Huppert"""
"42,""Твое имя"",""    Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"",106,""Animation"",8.4,79,126508,5.02,""Makoto Shinkai"",""Ryunosuke Kamiki"""
"43,""13 часов: Тайные солдаты Бенгази"",""    During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."",144,""Action"",7.3,48,101652,52.85,""Michael Bay"",""John Krasinski"""
"44,""Преисподняя"",""    From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."",148,""Drama"",7.1,45,29577,NA,""Martin Koolhoven"",""Guy Pearce"""
"45,""Тролли"",""    After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."",92,""Animation"",6.5,56,62226,153.71,""Mike Mitchell"",""Anna Kendrick"""
